graph,w,fly,cond,active,MN9_L,MN9_R,DNp01,DNa_L,DNa_R,DNa02_L,DNa02_R,headDN,wall_ms
malecns_all_shuf,0.152,2,sugar40_bitter,97.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.8170013427734
malecns_all_shuf,0.152,2,sugar80_bitter,142.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.5954895019531
malecns_all_shuf,0.152,2,sugar100_bitter,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.8364105224609
malecns_all_shuf,0.152,2,loom,1580.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5556,3160.518798828125
malecns_all_shuf,0.152,2,loomL,626.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6667,2372.4078369140625
malecns_all_shuf,0.152,2,loomR,715.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2389.4930419921875
malecns_all_shuf,0.152,2,lc10L,766.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2367.1353149414062
malecns_all_shuf,0.152,2,lc10R,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2623.808349609375
malecns_all_shuf,0.152,2,head,961.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,2669.9638671875
malecns_all,0.152,3,sugar10,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.061899662017822
malecns_all,0.152,3,sugar20,44.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.33100032806396
malecns_all,0.152,3,sugar40,83.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.09280014038086
malecns_all,0.152,3,sugar60,121.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.45929718017578
malecns_all,0.152,3,sugar80,287.3333333333333,25.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.28560638427734
malecns_all,0.152,3,sugar100,8069.333333333333,81.111,0.0,0.0,2.222,0.0,4.444,0.0,8.7777,2135.9430236816406
malecns_all,0.152,3,sugar150,11773.333333333334,111.111,2.222,0.0,2.222,0.0,4.444,0.0,9.6667,3042.3699340820312
malecns_all,0.152,3,rand0_40,10182.666666666666,22.222,0.0,0.0,0.5555,1.111,1.111,2.222,11.555499999999999,1531.0663299560547
malecns_all,0.152,3,rand0_80,11831.333333333334,42.222,0.0,0.0,1.6665,0.5555,3.333,1.111,22.222200000000004,3309.57861328125
malecns_all,0.152,3,rand0_150,11963.666666666666,52.222,0.0,0.0,0.5555,0.0,1.111,0.0,24.111,3865.1849365234375
malecns_all,0.152,3,rand1_40,11292.666666666666,33.333,0.0,0.0,1.111,0.5555,2.222,1.111,16.777700000000003,2308.48095703125
malecns_all,0.152,3,rand1_80,11916.666666666666,45.556,0.0,0.0,1.111,1.111,2.222,2.222,23.3333,3358.2302856445312
malecns_all,0.152,3,rand1_150,12099.666666666666,50.0,0.0,0.0,0.0,2.222,0.0,4.444,24.1111,3564.7423095703125
malecns_all,0.152,3,rand2_40,3998.0,17.778,0.0,0.0,0.0,0.5555,0.0,1.111,9.2223,1371.2577934265137
malecns_all,0.152,3,rand2_80,11800.0,44.444,0.0,0.0,0.0,1.111,0.0,2.222,21.0,3055.35986328125
malecns_all,0.152,3,rand2_150,11762.666666666666,40.0,0.0,0.0,0.5555,1.6665,1.111,3.333,18.333399999999997,3126.4944458007812
malecns_all,0.152,3,bitter150,7003.666666666667,0.0,0.0,0.0,0.5555,0.0,1.111,0.0,4.2223,1435.7457885742188
malecns_all,0.152,3,sugar40_bitter,10527.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7777,1840.1553039550781
malecns_all,0.152,3,sugar80_bitter,10378.0,0.0,0.0,0.0,1.111,0.0,2.222,0.0,6.1111,1851.6974792480469
malecns_all,0.152,3,sugar100_bitter,7728.0,0.0,0.0,0.0,1.111,0.0,2.222,0.0,1.2223,1228.2864074707031
malecns_all,0.152,3,loom,3279.3333333333335,0.0,0.0,384.4445,0.0,0.0,0.0,0.0,0.0,3105.7745361328125
malecns_all,0.152,3,loomL,2149.6666666666665,0.0,0.0,251.667,0.0,25.5555,0.0,0.0,0.0,2425.2899780273438
malecns_all,0.152,3,loomR,2372.6666666666665,0.0,0.0,280.5555,7.778,0.0,0.0,0.0,0.0,2794.7135620117188
malecns_all,0.152,3,lc10L,954.6666666666666,0.0,0.0,0.0,86.111,0.0,168.889,0.0,0.1111,1687.2525024414062
malecns_all,0.152,3,lc10R,1225.0,2.222,0.0,0.0,0.0,86.11099999999999,0.0,167.778,0.7777999999999999,2266.5988159179688
malecns_all,0.152,3,head,3427.6666666666665,32.222,0.0,0.0,0.0,0.0,0.0,0.0,176.6667,3205.5655517578125
malecns_all,0.152,5,sugar10,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.59529995918274
malecns_all,0.152,5,sugar20,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35739994049072
malecns_all,0.152,5,sugar40,80.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.35869979858398
malecns_all,0.152,5,sugar60,117.66666666666667,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.47850036621094
malecns_all,0.152,5,sugar80,308.0,26.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.4697952270508
malecns_all,0.152,5,sugar100,499.6666666666667,83.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.1132965087891
malecns_all,0.152,5,sugar150,7539.666666666667,128.889,3.333,0.0,0.5555,0.0,1.111,0.0,3.8888,2063.728515625
malecns_all,0.152,5,rand0_40,11828.666666666666,34.444,0.0,0.0,0.0,1.6665,0.0,3.333,24.2221,3129.6422729492188
malecns_all,0.152,5,rand0_80,11928.666666666666,36.667,0.0,0.0,0.0,0.5555,0.0,1.111,27.333299999999998,3657.8809814453125
malecns_all,0.152,5,rand0_150,12108.0,36.667,0.0,0.0,0.5555,0.5555,1.111,1.111,27.4443,3855.0325927734375
malecns_all,0.152,5,rand1_40,11437.666666666666,28.889,0.0,0.0,1.111,1.111,2.222,2.222,20.5556,2518.223663330078
malecns_all,0.152,5,rand1_80,11852.0,31.111,0.0,0.0,1.111,1.111,2.222,2.222,25.111200000000004,3292.5140380859375
malecns_all,0.152,5,rand1_150,12013.0,34.444,0.0,0.0,0.5555,1.6665,1.111,3.333,26.222199999999997,3827.7689208984375
malecns_all,0.152,5,rand2_40,7677.666666666667,18.889,0.0,0.0,0.0,1.111,0.0,2.222,14.4445,1932.7338409423828
malecns_all,0.152,5,rand2_80,8222.666666666666,23.333,0.0,0.5555,0.0,1.111,0.0,2.222,16.7778,2509.0919799804688
malecns_all,0.152,5,rand2_150,12041.0,36.667,0.0,0.0,0.0,0.5555,0.0,1.111,25.6666,3804.3839111328125
malecns_all,0.152,5,bitter150,9817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666600000000001,1541.1832885742188
malecns_all,0.152,5,sugar40_bitter,11053.666666666666,0.0,0.0,0.0,0.5555,0.0,1.111,0.0,9.777800000000001,2029.9935913085938
