graph,mode,frac,mask,syn_lost
malecns_all,A,0.7,32,0.9029388789744935
malecns_all,A,0.85,32,0.9744085319670028
malecns_all,A,0.95,32,0.995829584292192
malecns_all,A,0.0,33,0.0
malecns_all,A,0.01,33,0.018001162442624695
malecns_all,A,0.02,33,0.03570800530080029
malecns_all,A,0.05,33,0.09515136966770406
malecns_all,A,0.1,33,0.1899761923893985
malecns_all,A,0.15,33,0.2762631831638264
malecns_all,A,0.2,33,0.35851142518423257
malecns_all,A,0.3,33,0.5071531438899849
malecns_all,A,0.4,33,0.6401641004027525
malecns_all,A,0.5,33,0.7499838863192198
malecns_all,A,0.7,33,0.9089350630033227
malecns_all,A,0.85,33,0.9748980459962902
malecns_all,A,0.95,33,0.9959160184467902
malecns_all,A,0.0,34,0.0
malecns_all,A,0.01,34,0.019344125056805057
malecns_all,A,0.02,34,0.03826239258157582
malecns_all,A,0.05,34,0.09583523960152371
malecns_all,A,0.1,34,0.18832978300205588
malecns_all,A,0.15,34,0.2773452629882516
malecns_all,A,0.2,34,0.35864320501844443
malecns_all,A,0.3,34,0.5061407999800298
malecns_all,A,0.4,34,0.6356187523607126
malecns_all,A,0.5,34,0.7456918338897451
malecns_all,A,0.7,34,0.9046035185505998
malecns_all,A,0.85,34,0.9749374977051006
malecns_all,A,0.95,34,0.9958850327699132
malecns_all,A,0.0,35,0.0
malecns_all,A,0.01,35,0.019130805240741455
malecns_all,A,0.02,35,0.037919348967627074
malecns_all,A,0.05,35,0.09456710864674865
malecns_all,A,0.1,35,0.18827274613548622
malecns_all,A,0.15,35,0.27711582545996394
malecns_all,A,0.2,35,0.36008698597862243
malecns_all,A,0.3,35,0.509081996228407
malecns_all,A,0.4,35,0.6367229406228159
malecns_all,A,0.5,35,0.7436263075443649
malecns_all,A,0.7,35,0.9054379709724115
malecns_all,A,0.85,35,0.9742888867785624
malecns_all,A,0.95,35,0.9957732892112775
malecns_all,A,0.0,36,0.0
malecns_all,A,0.01,36,0.019815844293256703
malecns_all,A,0.02,36,0.03907252733451919
malecns_all,A,0.05,36,0.09756289870676606
malecns_all,A,0.1,36,0.18621540362097508
malecns_all,A,0.15,36,0.27372832419671106
malecns_all,A,0.2,36,0.3552806019519638
malecns_all,A,0.3,36,0.5059548939816559
malecns_all,A,0.4,36,0.6381781386317729
malecns_all,A,0.5,36,0.7482551225983822
malecns_all,A,0.7,36,0.9058859127534611
malecns_all,A,0.85,36,0.9752577797874794
malecns_all,A,0.95,36,0.995800017683525
malecns_all,A,0.0,37,0.0
malecns_all,A,0.01,37,0.020023778100433036
malecns_all,A,0.02,37,0.03875751838060193
malecns_all,A,0.05,37,0.09645962155095673
malecns_all,A,0.1,37,0.18771875319441525
malecns_all,A,0.15,37,0.2748705370365273
malecns_all,A,0.2,37,0.3576664506941606
malecns_all,A,0.3,37,0.5060494313382476
malecns_all,A,0.4,37,0.636433136255398
malecns_all,A,0.5,37,0.7465352522425188
malecns_all,A,0.7,37,0.9057748626031552
malecns_all,A,0.85,37,0.9751366026504034
malecns_all,A,0.95,37,0.9958132246933413
malecns_all,A,0.0,38,0.0
malecns_all,A,0.01,38,0.018888378400601438
malecns_all,A,0.02,38,0.03977923942878441
malecns_all,A,0.05,38,0.0986740855552676
malecns_all,A,0.1,38,0.19057384586658407
malecns_all,A,0.15,38,0.2789174534956431
malecns_all,A,0.2,38,0.35858382991448357
malecns_all,A,0.3,38,0.5093884020813022
malecns_all,A,0.4,38,0.6365524831169989
malecns_all,A,0.5,38,0.7482893898704944
malecns_all,A,0.7,38,0.9063905205082529
malecns_all,A,0.85,38,0.9741807553935518
malecns_all,A,0.95,38,0.9955694190994293
malecns_all,A,0.0,39,0.0
malecns_all,A,0.01,39,0.02014627755106819
malecns_all,A,0.02,39,0.03998441572841666
malecns_all,A,0.05,39,0.09913781447015145
malecns_all,A,0.1,39,0.18972538820908802
malecns_all,A,0.15,39,0.2762831468734146
malecns_all,A,0.2,39,0.3594842125678389
malecns_all,A,0.3,39,0.5089940381880608
malecns_all,A,0.4,39,0.639330825162524
malecns_all,A,0.5,39,0.7479657133124546
malecns_all,A,0.7,39,0.9069929069004337
malecns_all,A,0.85,39,0.9750081931031899
malecns_all,A,0.95,39,0.9956114025549323
malecns_all,B,0.0,0,0.0
malecns_all,B,0.01,0,0.022623196608207666
malecns_all,B,0.02,0,0.041740633581381616
malecns_all,B,0.05,0,0.10096200246521174
malecns_all,B,0.1,0,0.1918111927166711
malecns_all,B,0.15,0,0.27765491012194427
malecns_all,B,0.2,0,0.36020341407492806
malecns_all,B,0.3,0,0.5092960981445634
malecns_all,B,0.4,0,0.6391376867540126
malecns_all,B,0.5,0,0.7525741695753937
malecns_all,B,0.7,0,0.9105657900743693
malecns_all,B,0.85,0,0.977070526545098
malecns_all,B,0.95,0,0.997204484003981
malecns_all,B,0.0,1,0.0
malecns_all,B,0.01,1,0.01930761630195243
malecns_all,B,0.02,1,0.03940376688108626
malecns_all,B,0.05,1,0.09803281991929275
malecns_all,B,0.1,1,0.1896271016097829
malecns_all,B,0.15,1,0.2783512936572505
malecns_all,B,0.2,1,0.35863592423098156
malecns_all,B,0.3,1,0.5098531630457932
malecns_all,B,0.4,1,0.6420475748100105
malecns_all,B,0.5,1,0.7503323562564935
malecns_all,B,0.7,1,0.9092591427057403
malecns_all,B,0.85,1,0.9776048299147577
malecns_all,B,0.95,1,0.9973474470632328
malecns_all,B,0.0,2,0.0
malecns_all,B,0.01,2,0.019576086268897654
malecns_all,B,0.02,2,0.038616401722600446
malecns_all,B,0.05,2,0.09726022597080916
malecns_all,B,0.1,2,0.1914126441847883
malecns_all,B,0.15,2,0.28023062374030483
malecns_all,B,0.2,2,0.3632516774071585
malecns_all,B,0.3,2,0.5108031727720544
malecns_all,B,0.4,2,0.6405756221207126
malecns_all,B,0.5,2,0.7473255926065128
malecns_all,B,0.7,2,0.9089331601618595
malecns_all,B,0.85,2,0.9767958723433975
malecns_all,B,0.95,2,0.9973196946042656
malecns_all,B,0.0,3,0.0
malecns_all,B,0.01,3,0.019502367287975043
malecns_all,B,0.02,3,0.04032132348493545
malecns_all,B,0.05,3,0.10057757204943911
malecns_all,B,0.1,3,0.1905251782772973
malecns_all,B,0.15,3,0.27920316191618266
malecns_all,B,0.2,3,0.3629864970983361
malecns_all,B,0.3,3,0.5153228566430041
malecns_all,B,0.4,3,0.6451149552486358
malecns_all,B,0.5,3,0.7534088961353822
malecns_all,B,0.7,3,0.9119381983539034
malecns_all,B,0.85,3,0.9782977544713025
malecns_all,B,0.95,3,0.997510583467149
malecns_all,B,0.0,4,0.0
malecns_all,B,0.01,4,0.020052111087304092
malecns_all,B,0.02,4,0.03955454287837958
malecns_all,B,0.05,4,0.09775640800810508
malecns_all,B,0.1,4,0.19217242620494573
malecns_all,B,0.15,4,0.279317598479262
malecns_all,B,0.2,4,0.3613507710370049
malecns_all,B,0.3,4,0.5131161975138473
malecns_all,B,0.4,4,0.6431992454169297
malecns_all,B,0.5,4,0.7543721773745603
malecns_all,B,0.7,4,0.9116747354401303
malecns_all,B,0.85,4,0.9778983190217886
malecns_all,B,0.95,4,0.9974822424173905
malecns_all,B,0.0,5,0.0
malecns_all,B,0.01,5,0.020689748423878836
malecns_all,B,0.02,5,0.04092441941122118
malecns_all,B,0.05,5,0.09717392888529951
malecns_all,B,0.1,5,0.1882495088935504
malecns_all,B,0.15,5,0.2786545711097741
malecns_all,B,0.2,5,0.35911922983685085
malecns_all,B,0.3,5,0.50847619923479
malecns_all,B,0.4,5,0.6368055771573752
malecns_all,B,0.5,5,0.7470179692575966
malecns_all,B,0.7,5,0.9079079962606907
malecns_all,B,0.85,5,0.9775216531667321
malecns_all,B,0.95,5,0.9973893418269726
malecns_all,B,0.0,6,0.0
malecns_all,B,0.01,6,0.020782245869918888
malecns_all,B,0.02,6,0.04056028328342648
malecns_all,B,0.05,6,0.0987357505192943
malecns_all,B,0.1,6,0.19052325124717148
malecns_all,B,0.15,6,0.27805231372379413
malecns_all,B,0.2,6,0.36098595762665553
malecns_all,B,0.3,6,0.5107246079957108
malecns_all,B,0.4,6,0.6385084348204959
malecns_all,B,0.5,6,0.7508806164845123
malecns_all,B,0.7,6,0.9094840166396713
malecns_all,B,0.85,6,0.9772576177879426
malecns_all,B,0.95,6,0.9974886362872222
malecns_all,B,0.0,7,0.0
malecns_all,B,0.01,7,0.020198089666501717
malecns_all,B,0.02,7,0.0392505720175262
malecns_all,B,0.05,7,0.09779781093570407
malecns_all,B,0.1,7,0.19123097926526872
malecns_all,B,0.15,7,0.27633932101101577
